Id,Block,Street_Name,Town,Latitude,Longitude,Postal_Code,Near_Supermarkets,Near_Mrts,Near_Foodcourts,Near_Clinics,Near_Dengues,Supermarket_Score,Mrt_Score,Foodcourt_Score,Clinic_Score,Dengue_Score
0,309,ANG MO KIO AVE 1,ANG MO KIO,1.365,103.845,562309,"[[23, 275.669]]","[[112, 722.131]]","[[49, 321.817]]","[[1306, 240.841]]",[],3.649,0.747,3.792,5.452,10
1,216,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.842,560216,"[[21, 48.288]]","[[33, 802.589]]","[[45, 200.199]]","[[366, 195.151]]",[],3.597,0.783,4.827,3.558,10
2,211,ANG MO KIO AVE 3,ANG MO KIO,1.369,103.842,560211,"[[22, 213.449]]","[[33, 620.298]]","[[45, 287.042]]","[[914, 242.246]]",[],4.267,1.34,5.315,5.81,10
3,202,ANG MO KIO AVE 3,ANG MO KIO,1.368,103.845,560202,"[[22, 238.472]]","[[112, 584.343]]","[[76, 473.845]]","[[1306, 180.396]]",[],4.5,1.265,4.663,7.52,10
4,235,ANG MO KIO AVE 3,ANG MO KIO,1.367,103.836,560235,"[[24, 89.867]]","[[93, 473.189]]","[[44, 298.464]]","[[839, 314.672]]",[],2.208,2.717,3.485,1.274,10
5,232,ANG MO KIO AVE 3,ANG MO KIO,1.368,103.837,560232,"[[24, 101.857]]","[[33, 353.574]]","[[44, 279.624]]","[[1140, 253.274]]",[],2.689,2.669,4.132,2.095,10
6,308,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.844,561308,"[[21, 313.233]]","[[112, 782.535]]","[[49, 467.018]]","[[1306, 246.081]]",[],3.657,0.585,4.192,5.163,10
7,220,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.841,560220,"[[21, 159.023]]","[[33, 787.181]]","[[45, 188.861]]","[[366, 157.543]]",[],2.878,1.124,4.38,2.393,10
8,219,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.841,560219,"[[21, 118.363]]","[[33, 760.135]]","[[45, 153.919]]","[[366, 129.684]]",[],3.14,1.124,4.72,2.703,10
9,247,ANG MO KIO AVE 3,ANG MO KIO,1.368,103.834,560247,"[[24, 313.986]]","[[93, 480.705]]","[[44, 607.855]]","[[588, 538.128]]",[],1.54,2.764,2.535,0.835,10
10,320,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.848,560320,"[[23, 108.807]]","[[112, 499.922]]","[[49, 162.055]]","[[893, 108.807]]",[],3.834,1.344,3.335,6.886,10
11,252,ANG MO KIO AVE 4,ANG MO KIO,1.369,103.834,560252,"[[24, 312.634]]","[[33, 346.527]]","[[44, 601.668]]","[[588, 400.584]]",[],1.839,2.759,3.048,1.297,10
12,223,ANG MO KIO AVE 1,ANG MO KIO,1.366,103.838,560223,"[[24, 240.084]]","[[93, 564.877]]","[[44, 143.552]]","[[839, 180.124]]",[],2.354,2.174,4.133,1.495,10
13,230,ANG MO KIO AVE 3,ANG MO KIO,1.369,103.838,560230,"[[24, 195.982]]","[[33, 325.514]]","[[44, 269.583]]","[[1140, 218.269]]",[],2.856,2.495,4.444,2.548,10
14,329,ANG MO KIO AVE 3,ANG MO KIO,1.367,103.847,560329,"[[23, 220.472]]","[[112, 475.862]]","[[49, 300.685]]","[[1306, 162.595]]",[],4.229,1.409,3.617,7.312,10
15,313,ANG MO KIO AVE 3,ANG MO KIO,1.367,103.85,560313,"[[23, 331.392]]","[[112, 370.666]]","[[49, 358.955]]","[[1413, 187.446]]",[],3.756,1.692,4.057,7.421,10
16,117,ANG MO KIO AVE 4,ANG MO KIO,1.374,103.836,560117,"[[296, 469.252]]","[[33, 272.279]]","[[91, 412.205]]","[[961, 287.298]]",[],1.674,1.956,2.704,2.543,10
17,110,ANG MO KIO AVE 4,ANG MO KIO,1.37,103.837,560110,"[[24, 327.606]]","[[33, 146.35]]","[[44, 451.84]]","[[471, 111.357]]",[],2.713,2.66,4.003,2.791,10
18,343,ANG MO KIO AVE 3,ANG MO KIO,1.368,103.849,560343,"[[16, 134.86]]","[[112, 179.098]]","[[49, 482.777]]","[[1413, 129.869]]",[],4.413,2.207,3.721,8.664,10
19,345,ANG MO KIO AVE 3,ANG MO KIO,1.367,103.85,560345,"[[16, 240.54]]","[[112, 272.198]]","[[49, 408.742]]","[[1413, 118.18]]",[],4.124,1.956,3.952,8.118,10
20,346,ANG MO KIO AVE 3,ANG MO KIO,1.367,103.85,560346,"[[16, 273.773]]","[[112, 315.707]]","[[49, 370.544]]","[[1413, 121.537]]",[],4.037,1.84,3.934,7.864,10
